Index,Long Name,Indicators Short Name,SDG
390,Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita,Fish and seafood consumption,14
391,Total greenhouse gas emissions per capita including land-use change and forestry,Greenhouse gas emissions inc land-use change and forestry,13
392,Survival to age 65: male (% of cohort),Survival Age Male,3
393,Share of the urban population using at least basic drinking water services,Urban population using at least basic drinking water services,6
394,Openness of executive recruitment,Openness Executive Recruitment,16
395,Theoretical duration of pre-primary education (years),Theoretical Duration Preprimary,4
396,A woman can register a business in the same way as a man (1=yes; 0=no),Woman Can Register a Business,5
397,Labor force: female (% of total labor force),Labor Force Female,5
398,Scientific and technical journal articles per million people,Scientific Research Papers,9
399,Agriculture: forestry: and fishing: value added (% of GDP),Agriculture forestry and fishing,14
