Index,Field,New,Rename,Merge,Delete,Type,Main,Example,Note
MEDIA,image,,,,,url,,https://static.13.cl/7/sites/default/files/styles/manualcrop_890x500/public/programas/articulos/field-imagen/el_pensador_del_futuro-portada.jpg?itok=vGX8qous,
MEDIA,isDuplicate,,,,,boolean,,FALSE,
MEDIA,lang,,,,,cat,LANG,spa,
MEDIA,location.country.label.eng,,location.country,,,list_strings,COUNTRY,Japan,
MEDIA,location.country.lat,,,,,list_flloats,,35,
MEDIA,location.country.long,,,,,list_flloats,,139,
MEDIA,location.country.type,,,,,list_strings,,country,
MEDIA,location.label.eng,,,,,list_strings,,Tokyo,
MEDIA,location.lat,,,,,list_flloats,,35.69,
MEDIA,location.long,,,,,list_flloats,,139.692,
MEDIA,location.type,,,,,place,,,
MEDIA,new_sentiment.compound,,,,,float,SENTIMENT,0.98,
MEDIA,new_sentiment.neg,,,,,float,,0.049,
MEDIA,new_sentiment.neu,,,,,float,,0.818,
MEDIA,new_sentiment.pos,,,,,float,,0.133,
MEDIA,pilot,,,,,string,PILOT,OER 3,
MEDIA,processed_text,,,,,long string,,"Tassare i giganti del web: da un convegno in Senato emerge una invocazione al Governo, anzi ai Governi europei. La crociata solitaria di Maurizio Gasparri per trovare aiuti alla editoria italiana tradizionale si scontra con l'ignavia degli organismi continentali.",
MEDIA,relevance,,,,,integer,,21,
MEDIA,resource_type,,,,,list,,OER,indication if belongs to OER portal
MEDIA,SDG,,,,,list_strings,SDG,"[SDG OER2, SDG OER4]",
MEDIA,sentiment,,,,,float,,0.365,
MEDIA,sim,,,,,float,,0,
MEDIA,source.dataType,,,,,cat,,news,
MEDIA,source.disabled,,,,x,boolean,,TRUE,
MEDIA,source.location.country.label.eng,,,,,name,,Chile,
MEDIA,source.location.country.lat,,,,,float,,21,
MEDIA,source.location.country.long,,,,,float,,57,
MEDIA,source.location.country.type,,,,,string,,country,
MEDIA,source.location.label.eng,,,,,list_strings,,Tokyo,
MEDIA,source.location.lat,,,,,list_flloats,,35.69,
MEDIA,source.location.long,,,,,list_flloats,,139.692,
MEDIA,source.location.type,,,,,place,,,
MEDIA,source.locationValidated,,,,,boolean,,FALSE,
MEDIA,source.private,,,,,boolean,,FALSE,
MEDIA,source.title,,,,,string,,Canal 13,
MEDIA,source.uri,,,,,string,,13.cl,
MEDIA,time,,,,,date,,12:46:24,
MEDIA,title,,,,,string,NAME,"""El Pensador del Futuro"" llega a Casa CEntral",
MEDIA,topics,,SDGtopic,,,list_strings,SDG-topic,Open Education,
MEDIA,type,,,,,string,,resource,
MEDIA,uri,,,,,integer,,7907832774,
MEDIA,url,,,,,url,URL,https://www.13.cl/programas/congreso-futuro/noticias/el-pensador-del-futuro-responde-inquietudes-ciudadanas-en-el,
MEDIA,userHasPermissions,,,,,,,,
MEDIA,wgt,,,,,float,,"441,463,584",
MEDIA,wikifier_concepts.name,,,,,,CONCEPTS,"[Chile, University of Chile, Artificial intelligence, Latin America, Auguste Rodin, Sculpture, The Thinker, 19th century]","wikification of ""body""

NOT extract concepts that are Location"
MEDIA,wikifier_concepts.url,,,,,,,,
MEDIA,year,,,,,integer,YEAR,2023,
SCIENCE,id,,,,,auto,,33958,Record ID given by openAlex ID
SCIENCE,index,,,,,auto,,science,eS Index name
SCIENCE,score,,,,,auto,,-,?
SCIENCE,abstract,,,,,text,CONTENT,"Abstract Background Incurable cancer is a major contributor to societal suffering and disability,",
SCIENCE,annotations.title,,wikifier.concepts.name,,,list_strings,CONCEPTS,"[Nursing, Employment agency, Logical conjunction, Quality assurance, Of, Turkey, Patient, Health care, Law & Order: Special Victims Unit, Du (surname), Risk assessment, Registered nurse, Nurse practitioner, Ratio, Employment, Working time, Correlation, Prognosis, Acute care, Pain, Hospital, Power (social a",
SCIENCE,annotations.url,,wikifier.concepts.url,,,list_urls,,"[http://en.wikipedia.org/wiki/Nursing, http://en.wikipedia.org/wiki/Employment_agency, http://en.wikipedia.org/wiki/Logical_conjunction, http://en.wikipedia.org/wiki/Quality_assurance, http://en.wikipedia.org/wiki/Of,_Turkey, http://en.wikipedia.org/wiki/Patient, http://en.wikipedia.org/wiki/Healt",
SCIENCE,wikifier.concepts.class,x,,,,list_strings,,"[city,big city]",
SCIENCE,wikifier.concepts.classID,x,,,,list_strings,,"[Q515,Q1549591]",
SCIENCE,authorships.affiliations.institution_ids,,,,,list_urls,,"[https://openalex.org/I4432739, https://openalex.org/I4432739, https://openalex.org/I4432739, https://openalex.",
SCIENCE,authorships.affiliations.raw_affiliation_string,,,,,list_strings,,"[Centre for Crisis Psychology, University of Bergen, Bergen, Norway, Centre for Crisis Psychology,",
SCIENCE,authorships.author_position,,,,,list_strings,,"[first, middle, middle, middle, middle, middle, middle, middle, middle, middle, middle,",
SCIENCE,authorships.author.display_name,,,,,list_strings,AUTHORS,"[Marc Vandeputte, Sophie Launey]",
SCIENCE,authorships.author.id,,,,,list_urls,,"[https://openalex.org/A5086786445, https://openalex.org/A5027753824]",
SCIENCE,authorships.author.orcid,,,,,list_urls,,"[https://orcid.org/0000-0003-4098-6508, https://orcid.org/0000-0003-0538-2848,",
SCIENCE,authorships.countries,,,,,list_strings,,"[FR, FR]",
SCIENCE,authorships.institutions.country_code,,,,,list_strings,COUNTRY,"[FR, FR]",
SCIENCE,authorships.institutions.display_name,,,,,list_strings,,"[Fish Physiology and Genomics Institute, Fish Physiology and Genomics Institute]",
SCIENCE,authorships.institutions.id,,,,,list_urls,,"[https://openalex.org/I4210141078, https://openalex.org/I4210141078]",
SCIENCE,authorships.institutions.lineage,,,,,list_urls,,"[https://openalex.org/I3123023596, https://openalex.org/I4210088668, https://openalex.org/I4210141078, https://openalex.org/I56067802, https://openalex.org/I3123023596, https://openalex.org/I4210088668, https://openalex.org/I4210141078, https://openalex.org/I56067802]",
SCIENCE,authorships.institutions.ror,,,,,list_urls,,"[https://ror.org/04xtaw673, https://ror.org/04xtaw673]",
SCIENCE,authorships.institutions.type,,,,,string of categories,,"[facility, facility]",
SCIENCE,authorships.is_corresponding,,,,,string of binaries,,"[false, false]",
SCIENCE,authorships.raw_affiliation_strings,,,,,string of institutions,,"[Unité de recherche Génétique des Poissons, Unité de recherche Génétique des Poissons]",
SCIENCE,authorships.raw_author_name,,,,,string of names,,"[Marc Vandeputte, Sophie Launey]",
SCIENCE,concepts.display_name,,,,,string of concepts,,"[Domestication, Fish <Actinopterygii>, Biology, Fishery, Evolutionary biology, Zoology, Genetics]",openAlex concepts
SCIENCE,concepts.id,,,,,string of urls,,"[https://openalex.org/C134387633, https://openalex.org/C2909208804, https://openalex.org/C86803240, https://openalex.org/C505870484, https://openalex.org/C78458016, https://openalex.org/C90856448, https://openalex.org/C54355233]",
SCIENCE,concepts.level,,,,,string of integers,,"[2, 2, 0, 1, 1, 1, 1]",hierarchy
SCIENCE,concepts.score,,,,,string of scores,,"[0.923, 0.744, 0.474, 0.447, 0.443, 0.342, 0.205]",similarity
SCIENCE,concepts.wikidata,,,,,string of urls,,"[https://www.wikidata.org/wiki/Q11395, https://www.wikidata.org/wiki/Q127282, https://www.wikidata.org/wiki/Q420, https://www.wikidata.org/wiki/Q180538, https://www.wikidata.org/wiki/Q840400, https://www.wikidata.org/wiki/Q431, https://www.wikidata.org/wiki/Q7162]",
SCIENCE,created_date,,,,,date,,"Oct 24, 2023 @ 02:00:00.000",
SCIENCE,display_name,,,,,title text,NAME,The genetic management of fish domestication,
SCIENCE,doi,,,,,url,,https://doi.org/10.1186/s12904-024-01586-1,
SCIENCE,id,,,,x,url,,https://openalex.org/W4387864711,
SCIENCE,ids.doi,,,,,url,,https://doi.org/10.2174/97898151791871230401,
SCIENCE,ids.mag,,,,,integer,,1811181864,
SCIENCE,ids.openalex,,,,,url,,https://openalex.org/W4387864711,
SCIENCE,ids.pmcid,,,,,url,,https://www.ncbi.nlm.nih.gov/pmc/articles/4781632,
SCIENCE,ids.pmid,,,,,url,,https://pubmed.ncbi.nlm.nih.gov/39551753,
SCIENCE,mesh.descriptor_name,,,,,list_strings,,"[Denmark, Europe, France, Humans, Internationality, Italy, Neoplasms,",
SCIENCE,mesh.descriptor_ui,,,,,list_strings,,"[D003718, D005060, D005602, D006801, D038622, D007558, D009369,",
SCIENCE,mesh.is_major_topic,,,,,list_booleans,,"[false, false, false, false, false, false",
SCIENCE,mesh.qualifier_name,,,,,list_strings,,"[rehabilitation, methods, psychology]",
SCIENCE,mesh.qualifier_ui,,,,,list_strings,,"[(empty), (empty), (empty), (empty), (empty), (empty), Q000534,",
SCIENCE,primary_location.is_accepted,,,,,boolean,,FALSE,
SCIENCE,primary_location.is_oa,,,,,boolean,,TRUE,
SCIENCE,primary_location.is_published,,,,,boolean,,FALSE,
SCIENCE,primary_location.landing_page_url,,,,,string,,https://hal.inrae.fr/hal-02683563,
SCIENCE,primary_location.license_id,,,,,string,,,
SCIENCE,primary_location.pdf_url,,,,,url,,https://hal.inrae.fr/hal-02683563/document,
SCIENCE,primary_location.source.display_name,,,,,string,,HAL (Le Centre pour la Communication Scientifique Directe),
SCIENCE,primary_location.source.host_organization,,,,,url,,https://openalex.org/I1294671590,
SCIENCE,primary_location.source.host_organization_lineage,,,,,url,,https://openalex.org/I1294671590,
SCIENCE,primary_location.source.host_organization_lineage_names,,,,,list_strings,,"[Springer Nature, BioMed Central]",
SCIENCE,primary_location.source.host_organization_name,,,,,string,,French National Centre for Scientific Research,
SCIENCE,primary_location.source.id,,,,,string,,https://openalex.org/S4306402512,
SCIENCE,primary_location.source.is_core,,,,,boolean,,FALSE,
SCIENCE,primary_location.source.is_in_doaj,,,,,boolean,,FALSE,
SCIENCE,primary_location.source.is_oa,,,,,boolean,,TRUE,
SCIENCE,primary_location.source.issn,,,,,string,,1472-684X,
SCIENCE,primary_location.source.issn_l,,,,,string,,1472-684X,
SCIENCE,primary_location.source.type,,,,,string,,repository,
SCIENCE,primary_location.version,,,,,string,,submittedVersion,
SCIENCE,publication_date,,,,,date,DATE,"Jan 1, 2004 @ 01:00:00.000",
SCIENCE,publication_year,,,,,integer,YEAR,"2,024",
SCIENCE,SDG,,,,x,label,SDG,SDG 14,
SCIENCE,sdg_new,,SDG,,,list_strings,,,
SCIENCE,sentiment.compound,,,,,float,SENTIMENT,,
SCIENCE,sentiment.neg,,,,,float,,,
SCIENCE,sentiment.neu,,,,,float,,,
SCIENCE,sentiment.pos,,,,,float,,,
SCIENCE,title,,,,,string,,The genetic management of fish domestication,
SCIENCE,topics,,SDGtopics,,,list_strings,,"[Climate Change, Global Warming]",
SCIENCE,topics_new,,,,x,list_strings,,"[SDG 17, Global Warming, Climate Change]",
SCIENCE,updated_date,,,,x,date,,"Oct 24, 2023 @ 17:54:44.716",
SCIENCE,pilot,x,,,,string,PILOT,OER 3,
POLICY,id,,,,,auto,,33958,
POLICY,index,,,,,auto,,policy,
POLICY,score,,,,,auto,,-,
POLICY,wikifier.concepts.class,x,,,,list_strings,,"[city,big city]",
POLICY,wikifier.concepts.classID,x,,,,list_strings,,"[Q515,Q1549591]",
POLICY,code,,,,x,string,,ES,
POLICY,concepts.name,,wikifier.concepts.name,,,list_strings,CONCEPTS,"[Portuguese language, Autonomous communities of Spain, La Rioja, Público (Spain), Boletín Oficial del Estado, Ministry of Economy (Spain), European Union]
",
POLICY,concepts.url,,wikifier.concepts.url,,,list_strings,,"[http://en.wikipedia.org/wiki/Portuguese_language, http://en.wikipedia.org/wiki/Autonomous_communities_of_Spain, http://en.wikipedia.org/wiki/La_Rioja, http://en.wikipedia.org/wiki/P%c3%bablico_(Spain), http://en.wikipedia.org/wiki/Bolet%c3%adn_Oficial_del_Estado, http://en.wikipedia.org/wiki/Ministry_of_Economy_(Spain), http://en.wikipedia.org/wiki/European_Union]",
POLICY,content,,,,,string,CONTENT,"After two years in my position, I can certify that all functions we have been working with have kept on recruiting new staff while using our AI-based solutions.” In finance, case studies where job quantities remained steady following AI implementation often involved AI technologies that improved the quality of customer service through more accurate solutions to customer problems, more tailored service offerings, or better abilities to predict customer needs. In these cases, AI technologies aided better quality customer interactions while the volume of tasks remained the same or increased. To take an example, one case study explored a deep learning tool implemented by a Canadian insurer that uses historical data to predict when a customer is likely to escalate a service issue. Sales agents previously conducted spot checks to review customer accounts for potential issues. After the introduction of the AI technology, agents are given a priority list of account issues to solve pre-emptively, Unclassified allowing them to anticipate client needs, thereby improving the quality of customer service. Speaking to the motivation for introducing the tool, a manager at the firm stated: “We wanted to solve client problems before they reach out directly. We take customer satisfaction very seriously and want to deliver our services as well as we possibly can.” Even without being firms’ primary aim, AI technologies that improve product or service quality could result in productivity gains that could enable firms to decrease employment levels. Whether they do so depends on how the productivity gains are used: to increase output with the same number of workers or to keep output constant while decreasing the number of workers. In the above case study, the deep learning tool also allowed sales agents to be more productive in resolving customer issues.",
POLICY,country,,,,,string,,OECD,
POLICY,country_code.alpha-2,,country_code-2,,,string,,,
POLICY,country_code.alpha-3,,country_code,,,string,COUNTRY,,
POLICY,date,,,,,date,DATE,"Jan 1, 2023 @ 01:00:00.000",
POLICY,doc_id,,,,,integer,ID,216,
POLICY,id,,,,,code,,OECD iLibrary_0_2_2023,
POLICY,link,,,,,url,,https://www.oecd-ilibrary.org/deliver/2247ce58-en.pdf?itemId=%2Fcontent%2Fpaper%2F2247ce58-en&mimeType=pdf,
POLICY,p_id,,,,,integer,,49,
POLICY,region,,,,,string,,International Organizations,
POLICY,SDG,,,,,list_strings,SDG,"[SDG 4, capacity-building, SDG 9, (Critical AND infrastructure)]",
POLICY,SDG_new,,,SDG,,string,,,
POLICY,sentiment.compound,,,,,float,SENTIMENT,0.98,
POLICY,sentiment.neg,,,,,float,,0.049,
POLICY,sentiment.neu,,,,,float,,0.818,
POLICY,sentiment.pos,,,,,float,,0.133,
POLICY,source,,,,,string,,OECD iLibrary,
POLICY,title,,,,,string,NAME,The impact of AI on the workplace: Evidence from OECD case studies of AI implementation,
POLICY,topics,,SDGtopic,,,string,SDG-topic,"[Biodiversity, Conflict Resolution, Anti-Corruption, Industrialization]",
POLICY,translated_text,,,,,string,,Ensuring countries have sufficient such “AI compute capacity”,
POLICY,year,,,,,integer,YEAR,2003,
POLICY,pilot,x,,,,string,PILOT,OER 3,
EDUCATION,id,,,,,auto,,33958,
EDUCATION,index,,,,,auto,,education,
EDUCATION,score,,,,,auto,,-,
EDUCATION,annotations.title,,wikifier.concepts.name,,,list_strings,CONCEPTS,"[Connecting, Connect the dots, Dots (video game), Ring road, Manufacturing, Syllable, Chicago Loop]","wikification of ""description"""
EDUCATION,annotations.url,,wikifier.concepts.url,,,list_strings,,"[http://en.wikipedia.org/wiki/Connecting, http://en.wikipedia.org/wiki/Connect_the_dots, http://en.wikipedia.org/wiki/Dots_(video_game),",
EDUCATION,wikifier.concepts.class,x,,,,list_strings,,"[city,big city]",
EDUCATION,wikifier.concepts.classID,x,,,,list_strings,,"[Q515,Q1549591]",
EDUCATION,authors.description,,,,,string,,(empty),
EDUCATION,authors.id,,<integer>,,,float,,"13,763",
EDUCATION,authors.name,,,,,string,AUTHORS,Peter Stanković,
EDUCATION,authors.views,,,,x,integer,,30,
EDUCATION,description,,,,,string,CONTENT,"Družbena omrežja so pomemben nov komunikacijski medij in hkrati tudi pripravna platforma za promocijske dejavnosti. Da bi ugotovili, kako jih uporabljajo sodobni slovenski narodnozabavni glasbeniki, smo izpeljali tekstualno analizo dejavnosti šestih najbolj priljubljenih slovenskih narodnozabavnih zasedb. Rezultati kažejo, da so na družbenih omrežjih prisotne vse analizirane zasedbe, vendar na različne načine: skupine, ki se približujejo konvencijam pop glasbe, so zelo aktivne in spretne, medtem ko so tiste, ki ostajajo bližje konvencijam klasične narodnozabavne glasbe, na družbenih omrežjih zadržane. Kljub vsem razlikam pa analizirane zasedbe na družbenih omrežjih povezujeta dva izstopajoča vsebinska poudarka: ljudskost in zabava. Zdi se torej, da so sodobne narodnozabavne zasedbe kljub morebitnemu približevanju mainstreamovskemu popu še vedno močno zavezane eni od osrednjih tradicionalističnih vrednot, skupnosti, le da je zdaj očitno pomembno, da se ta skupnost zabava.",
EDUCATION,duration,,,,x,float,,"1,865",
EDUCATION,event.caption,,,,,string,EVENT,SSJLK 2023 - Ljubljana,
EDUCATION,event.date,,,,,date,DATE,"Jul 3, 2023 @ 09:00:00.000",
EDUCATION,event.description,,,,,string,,"Ob razmisleku o 21. stoletju kot informacijski ali digitalni dobi se je sprva razpravljalo predvsem o novih finančnih in gospodarskih tokovih ter o prednostih ali slabostih digitalizacije, v zadnjem desetletju pa se vse pogosteje opozarja na to, kako nove tehnologije in novi, digitalni svetovi stopajo v življenje posameznika od najzgodnejšega obdobja naprej, kako spreminjajo družbo in razmerja znotraj nje, kako se na novo vzpostavljajo umetniški izrazi, kulturne prakse ter sporazumevalne norme, vzorci in diskurzi. Raziskav o tem, kako so IKT-tehnologije zaznamovale jezik, literaturo in kulturo, tudi v slovenskem okolju – še posebej po prelomu, ki ga je prinesla epidemija Covida19 – ni malo, vendar se marsikdaj usmerjajo predvsem v digitalizacijo sporazumevanja, tj. prenos načinov izražanja ter procesov, kot jih poznamo v nedigitalnem svetu, ali v nova orodja umetne inteligence in njihovo zmogljivost na posameznih področjih, ob čemer se poudarjajo bodisi prednosti bodisi pasti. Temeljna raziskovalna namena prispevkov, ki so bili predstavljeni na **[[https://centerslo.si/seminar-sjlk/|59. seminarju slovenskega jezika, literature in kulture]]**, sta tako dva: ponuditi nekoliko širši oris dogajanja v jeziku, literaturi in kulturi ob srečanju s spletnimi svetovi, saj šele v interakciji kažejo podobo sodobne družbe, ki jo ti svetovi soustvarjajo, ter spodbuditi kritični pogled, ki presega zgolj odklanjanje ali sprejemanje digitalnih tehnologij in digitalnega.",
EDUCATION,event.id,,<integer>,,,float,,"33,865",
EDUCATION,event.title,,,,,string,,"59. seminar slovenskega jezika, literature in kulture: Slovenski jezik, literatura, kultura in digitalni svet(ovi), Ljubljana 2023",
EDUCATION,id,,,,x,float,,"33,869",
EDUCATION,new_sdg,,,SDG,,integer,SDG,,
EDUCATION,new_topics,,SDGtopic,,,string,SDG-topic,,
EDUCATION,public,,,,x,boolean,,TRUE,
EDUCATION,published,,date,,,date,DATE,"Aug 16, 2023",
EDUCATION,category,x,,,,string,CATEGORY,machine learning,add from metadata
EDUCATION,SDG,,,,x,string,SDG,SDG 15,"Redefine based on ""CONCEPTS"""
EDUCATION,sentiment.compound,,,,,float,,0.98,
EDUCATION,sentiment.neg,,,,,float,,0.049,
EDUCATION,sentiment.neu,,,,,float,,0.818,
EDUCATION,sentiment.pos,,,,,float,,0.133,
EDUCATION,slug,,,,,word,,ssjlk2023_stankovic_digitalno_komuniciranje,
EDUCATION,thumbnail,,,,,url,,https://apiminio.videolectures.net/vln/lectures/33869/sl/thumbnail.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=masoud%2F20231110%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20231110T153743Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=21dadd899ab903395045f8080e2539ab20caa178fda72714a5357edceeb04c6f,
EDUCATION,title,,,,,string,NAME,Digitalno komuniciranje: Slovenske narodnozabavne zasedbe na družbenih omrežjih,
EDUCATION,views,,,,,integer,,5,
EDUCATION,year,,,,,integer,YEAR,2023,
EDUCATION,pilot,x,,,,string,PILOT,OER 3,
EDUCATION,country,x,,,,string,,Spain,
EDUCATION,country_code,x,,,,string,COUNTRY,ESP,
INNOVATION,id,,,,,auto,,33958,
INNOVATION,index,,,,,auto,,innovations_v2,
INNOVATION,score,,,,,auto,,1,
INNOVATION,annotations.title,,wikifier.concepts.name,,,string of concepts,CONCEPTS,"[Quran, Data, School, Locus (genetics), Critical thinking, Quality control,","wikification of ""description"""
INNOVATION,annotations.url,,wikifier.concepts.url,,,string of urls,,"[http://en.wikipedia.org/wiki/Quran, http://en.wikipedia.org/wiki/Data,",
INNOVATION,wikifier.concepts.class,x,,,,list_strings,,"[city,big city]",
INNOVATION,wikifier.concepts.classID,x,,,,list_strings,,"[Q515,Q1549591]",
INNOVATION,code,,,,,string,,ES,
INNOVATION,company,,,,,string,NAME,1worldblockchain,
INNOVATION,country,,,,x,string,,Spain,
INNOVATION,country_code.alpha-2,,,,,string,,SP,
INNOVATION,country_code.alpha-3,,country_code,,,string,COUNTRY,ESP,
INNOVATION,description,,,,,string,CONTENT,"1WB is the ""second coming"" of Alibaba for multicurrency invoice payments. We offer an easy-to-use payment platform for B2B2C invoice-based transactions. We leverage the latest technologies of WEB3 and financial services to offer a compliant payment platform App for SMEs, consumers and the unbanked.
The 1WB DeFi e-wallet/App allows global-users of the banked/unbanked and female users to control their money/finances to live, work and prosper in today's digital economy.",need to wikify
INNOVATION,github,,,,,url,,https://github.com/orgs/IRCAI-SDGobservatory/,
INNOVATION,industry,,,,,string,,Finance / Credit Companies,
INNOVATION,linkedIn,,,,,url,,https://www.linkedin.com/in/toyinadekanmbi/,
INNOVATION,open_data,,,,,url,,https://github.com/FranciscoMaiungulo/python,
INNOVATION,project,,,,,string,,A Framework for Designing Student Support Strategies in Higher Education Institutions using Artificial Intelligence,
INNOVATION,prototype,,,,,string,,,
INNOVATION,Publications,,,,,string,,"Edward Ng – Chairman of 1worldblockchain

Published a business whitepaper titled:
""Transformation of the Tokenized Economy"" (year 2019)

Other business process automation use-cases with WEB3-AI technologies

Waiki Hui – Senior Architect

Published and obtained a patent – US Patent 8,095,441
""Method and System for Administering Money Laundering Prevention Program",
INNOVATION,region,,,,,string,,Sub-Saharan Africa,
INNOVATION,SDG,,,,,string of labels,SDG,"[SDG 1: No Poverty, SDG 4: Quality Education, SDG 10: Reduced Inequality]",neet to extract just a string of SDGs
INNOVATION,sentiment.compound,,,,,float,SENTIMENT,0.98,
INNOVATION,sentiment.neg,,,,,float,,0.049,
INNOVATION,sentiment.neu,,,,,float,,0.818,
INNOVATION,sentiment.pos,,,,,float,,0.133,
INNOVATION,Top 100 ID,,,,,integer,ID,141,
INNOVATION,Website,,,,,integer,,https://1worldblockchain.com,
INNOVATION,Year,,year,,,integer,YEAR,2023,extract from competition year
INNOVATION,pilot,x,,,,string,PILOT,OER 3,
INDICATORS,_id,,,,,auto,ID,2023-Life expectancy difference (f-m) - Type: period - Sex: both - Age: 0-2023,
INDICATORS,_index,,,,,auto,,,
INDICATORS,_score,,,,,auto,,,
INDICATORS,country,,,Country Name,,string,,Zimbabwe,
INDICATORS,county_type,,,,x,boolean,,FALSE,
INDICATORS,Country Code,,country_code,,,country_code,COUNTRY,EAP,
INDICATORS,Country Name,,country_name,,,string,,East Asia & Pacific (excluding high income),
INDICATORS,date,,,,,date,,"Jan 1, 2019 @ 01:00:00.000",
INDICATORS,id,,,,,string,ID,2023-Life expectancy difference (f-m) - Type: period - Sex: both - Age: 0-2023,repeating?
INDICATORS,Indicator Code,,,,,string,,NY.GDP.COAL.RT.ZS,
INDICATORS,Indicator Name,,,,,string,NAME,Coal rents (% of GDP),
INDICATORS,SDG,,,,,integer,SDG,7,
