n	name	url	tier	first_claim
S129	Zorginstituut advies	https://www.zorginstituutnederland.nl/documenten/2024/07/12/gvs-advies-semaglutide-wegovy-bij-obesitas	T1	B3-072
S130	ISAP Dz.U. 2020 poz. 1492	https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20200001492/T/D20201492L.pdf	T1	B3-075
S131	gov.pl (IJHARS)	https://www.gov.pl/web/ijhars/podatek-cukrowy	T1	B3-076
S132	Finanšu ministrija	https://www.fm.gov.lv/lv/nodokla-likmes	T1	B3-081
S133	likumi.lv Par akcīzes nodokli	https://m.likumi.lv/ta/id/81066-par-akcizes-nodokli	T1	B3-082
S134	vero.fi	https://www.vero.fi/syventavat-vero-ohjeet/ohje-hakusivu/56208/virvoitusjuomaver/	T1	B3-083
S135	Finlex HE 27/2019	https://www.finlex.fi/fi/hallituksen-esitykset/2019/27	T1	B3-084
S136	NOU 2022:20	https://www.regjeringen.no/no/dokumenter/nou-2022-20/id2951826/?ch=16	T1	B3-085
S137	PMC7491168	https://pmc.ncbi.nlm.nih.gov/articles/PMC7491168/	T1 (абстракт)	B3-086
S138	PMC4498278	https://pmc.ncbi.nlm.nih.gov/articles/PMC4498278/	T1 (абстракт)	B3-090
S139	BAG Neuaufnahme	https://www.bag.admin.ch/dam/de/sd-web/4UEBFvIzBFFM/wegovy-neuaufnahme-01-03-2024.pdf	T1	B3-091
S140	BAG Limitationsänderung 01.05.2025	https://www.bag.admin.ch/dam/fr/sd-web/zo5pElZKCzLb/WEGOVY%20Limitations%C3%A4nderung%2001.05.2025%20befristet.pdf	T1	B3-092
S141	PMC9012158	https://pmc.ncbi.nlm.nih.gov/articles/PMC9012158/	T1 (абстракт)	B3-096
S142	Минздрав РБ, комментарий	https://minzdrav.gov.by/ru/novoe-na-sayte/kommentariy-k-postanovleniyam-ministerstva-zdravookhraneniya-94-i-95/	T1	B3-100
S143	КМУ / НСЗУ	https://www.kmu.gov.ua/news/z-1-zhovtnya-paciyenti-zmozhut-otrimati-insulini-za-programoyu-dostupni-liki-nszu	T1	B3-102
S144	МОЗ	https://moz.gov.ua/uk/preparati-dlja-likuvannja-diabetu-i-tipu-ta-necukrovogo-diabetu-vkljucheno-do-nacionalnogo-pereliku-osnovnih-likarskih-zasobiv	T1	B3-103
S145	gov.ie DoH press release 24.04.2018	https://www.gov.ie/en/department-of-health/press-releases/government-welcomes-european-commission-approval-of-sugar-sweetened-drinks-tax/	T1	B3-104
S146	pmid:27481150	https://pubmed.ncbi.nlm.nih.gov/27481150/	T1 (абстракт)	B3-105
S147	Congress.gov, H.R.5376, Public Law 117-169	https://www.congress.gov/bill/117th-congress/house-bill/5376	T1	B4-001
S148	eCFR, 29 CFR 2590.702	https://www.ecfr.gov/current/title-29/subtitle-B/chapter-XXV/subchapter-L/part-2590/subpart-B/section-2590.702	T1	B4-004
S149	arkleg.state.ar.us, статут §20-7-133	https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2FMeeting+Attachments%2F410%2FI14319%2FEX+H1+ACA+20+7+133+through+20+7+135.pdf	T1	B4-005
S150	Federal Register, "Qualifications of Drivers; Diabetes Standard"	https://www.federalregister.gov/documents/2018/09/19/2018-20161/qualifications-of-drivers-diabetes-standard	T1	B4-007
S151	PMC, статья PMC7511432	https://pmc.ncbi.nlm.nih.gov/articles/PMC7511432/	T1	B4-008
S152	Michigan Legislature, MCL 37.2202	https://www.legislature.mi.gov/mileg.aspx%3Fpage%3DgetObject%26objectname%3Dmcl-37-2202	T1	B4-009
S153	DOF, модификация NOM-051-SCFI/SSA1-2010	https://dof.gob.mx/normasOficiales/8150/seeco11_C/seeco11_C.html	T1	B4-011
S154	BCN/LeyChile, Ley 20606 art. 7	https://www.bcn.cl/leychile/navegar?idNorma=1041570	T1	B4-013
S155	Boletín Oficial, detalleAviso Ley 27642	https://www.boletinoficial.gob.ar/detalleAviso/primera/252728/20211112	T1	B4-015
S156	HCDN, текст законопроекта об отмене	https://rest.hcdn.gob.ar/web/proyectos/291968/adjuntos/105773	T1	B4-016
S157	Función Pública, Gestor Normativo, Ley 2277 de 2022	https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=199883	T1	B4-017
S158	argentina.gob.ar/normativa, Ley 26396 texto original	https://www.argentina.gob.ar/normativa/nacional/norma-144033/texto	T1	B4-019
S159	CMS, "Coming Soon: CMS to Provide $50 Monthly Access..."	https://www.cms.gov/newsroom/press-releases/coming-soon-cms-provide-50-monthly-access-glp-1-medications-medicare-beneficiaries	T1	B4-020
S160	Medicare.gov, fact sheet PDF	https://www.medicare.gov/publications/12234-medicare-glp-1-bridge-glp-1-drugs-for-50-a-month.pdf	T1	B4-021
S161	CMS, "Contract Year 2026 Policy and Technical Changes..."	https://www.cms.gov/newsroom/fact-sheets/contract-year-2026-policy-and-technical-changes-medicare-advantage-program-medicare-prescription	T1	B4-022
S162	in.gov.br (Diário Oficial da União), RDC 429/2020	https://www.in.gov.br/en/web/dou/-/resolucao-de-diretoria-colegiada-rdc-n-429-de-8-de-outubro-de-2020-282070599	T1	B4-025
S163	gov.br/anvisa, новость 16.04.2025	https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2025/canetas-emagrecedoras-so-poderao-ser-vendidas-com-retencao-de-receita	T1	B4-026
S164	gov.br/anvisa, новость 20.11.2025	https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2025/anvisa-esclarece-sobre-proibicao-de-ingresso-de-canetas-emagrecedoras	T1	B4-027
S165	Congreso de Oaxaca, dictamen 1184	https://www.congresooaxaca.gob.mx/docs64.congresooaxaca.gob.mx/documents/dictamen/1184.pdf	T1	B4-028
S166	Government of Bermuda, "The Sugar Tax"	https://www.gov.bm/articles/sugar-tax	T1	B4-029
S167	NYC Commission on Human Rights, официальная страница	https://www.nyc.gov/site/cchr/media/height-and-weight.page	T1	B4-034
S168	DOF, ACUERDO, codigo=5740005	https://www.dof.gob.mx/nota_detalle.php?codigo=5740005&fecha=30/09/2024	T1	B4-036
S169	BCN/LeyChile, API LeyFácil "Plan GES o AUGE"	https://www.bcn.cl/api-leyfacil/servicio/ObtenerGuiaPublicadaHTML?uri=plan-ges-ex-auge	T1	B4-037
S170	gob.pe, Ministerio de Salud	https://www.gob.pe/1066-ministerio-de-salud-conoce-las-advertencias-publicitarias-octogonos	T1	B4-038
S171	FAA, "New Protocols for Diabetics Seeking Air Transport and Commercial Pilots Medical Certification"	https://www.faa.gov/newsroom/new-protocols-diabetics-seeking-air-transport-and-commercial-pilots-medical-certification	T1	B4-040
S172	law.justia.com, судебное решение Taylor v. Burlington N. R.R. Holdings, Inc.	https://law.justia.com/cases/washington/supreme-court/2019/96335-5.html	T1	B4-041
S173	Función Pública, Gestor Normativo, Ley 2120 de 2021	https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=168029	T1	B4-044
S174	FSSAI Gazette Notification (Safe Food and Balanced Diets for Children in School) Regulations 2020	https://fssai.gov.in/docs/food-law/regulations/Gazette_Notification_Safe_Food_Children_07_09_2020.pdf	T1	B5-001
S175	FSSAI Food Safety and Standards Regulations	https://fssai.gov.in/cms/food-safety-and-standards-regulations.php	T1	B5-002
S176	PMC8477491 Food environment in and around schools and colleges of Delhi	https://pmc.ncbi.nlm.nih.gov/articles/PMC8477491/	T1	B5-003
S177	pmid:24561969	https://pubmed.ncbi.nlm.nih.gov/24561969/	T1	B5-005
S178	pmid:26078247	https://pubmed.ncbi.nlm.nih.gov/26078247/	T1	B5-006
S179	PMC11086919	https://pmc.ncbi.nlm.nih.gov/articles/PMC11086919/	T1	B5-007
S180	CBSE Circular Acad-26/2025	https://cbseacademic.nic.in/web_material/Circulars/2025/26_Circular_2025.pdf	T1	B5-008
S181	CBSE Circular Acad-45/2025	https://cbseacademic.nic.in/web_material/Circulars/2025/45_Circular_2025.pdf	T1	B5-009
S182	PIB PRID=2144885	https://www.pib.gov.in/PressReleasePage.aspx?PRID=2144885	T1	B5-010
S183	PIB PRID=1944600 Update on treatment of Diabetes	https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1944600	T1	B5-011
S184	PIB PRID=2104884	https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2104884	T1	B5-012
S185	pmid:41472431	https://pubmed.ncbi.nlm.nih.gov/41472431/	T1	B5-013
S186	ncd.mohfw.gov.in	https://ncd.mohfw.gov.in/ncdlandingassets/aboutus.html	T1	B5-014
S187	PMC13386696	https://pmc.ncbi.nlm.nih.gov/articles/PMC13386696/	T1	B5-015
S188	PIB PRID=2163555	https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2163555	T1	B5-016
S189	CBIC Notification No. 9/2025-Integrated Tax (Rate)	https://courier.cbic.gov.in/ECCS/advisory/2025/NOTIFICATION%20NO.%209_2025-INTEGRATED%20TAX%20(RATE	T1	B5-018
S190	PMC10580107	https://pmc.ncbi.nlm.nih.gov/articles/PMC10580107/	T1	B5-020
