code	claim	source	url	tier
A-KR-1	B5-006	pmid:26078247	https://pubmed.ncbi.nlm.nih.gov/26078247/	T1
A-AE-1	B6-119	CNBC 2013-07-18; Gulf News	https://www.cnbc.com/2013/07/18/worth-their-weight-dubai-offers-dieters-gold-for-shedding-pounds.html	T2
A-AE-1	B7-022	Gulf News	https://gulfnews.com/lifestyle/health-fitness/lose-your-weight-in-gold-initiative-launches-in-dubai-1.1209743	T2
A-AE-1	B7-023	Gulf News	https://gulfnews.com/uae/health/dubai-municipality-campaign-uae-resident-sheds-kilos-and-gains-gold-1.1252639	T2
A-AE-1	B7-025	BBC News	https://www.bbc.com/news/business-23373186	T2
A-AE-1	B7-026	The National	https://www.thenationalnews.com/uae/weight-loss-champions-in-dubai-cash-in-with-16-9kg-in-gold-1.655921	T2
A-AR-1	B4-019	argentina.gob.ar/normativa, Ley 26396 texto original	https://www.argentina.gob.ar/normativa/nacional/norma-144033/texto	T1
A-AR-1	B6-001	InfoLEG, Ley 26.396	https://servicios.infoleg.gob.ar/infolegInternet/anexos/140000-144999/144033/norma.htm	T1
A-CL-1	B4-013	BCN/LeyChile, Ley 20606 art. 7	https://www.bcn.cl/leychile/navegar?idNorma=1041570	T1
A-CL-1	B4-014	BCN/LeyChile, Ley 20606, история изменений	https://www.bcn.cl/leychile/navegar?idNorma=1041570	T1
A-CL-1	B6-069	BCN Ley Chile, Ley 20606	https://www.bcn.cl/leychile/navegar?idNorma=1041570	T1
A-CL-1	B7-039	BCN Ley Chile	https://www.bcn.cl/leychile/navegar?idNorma=1041570	T1
A-CL-1	B7-040	BCN Ley Chile	https://www.bcn.cl/leychile/navegar?idNorma=1041570	T1
A-MX-1	B4-011	DOF, модификация NOM-051-SCFI/SSA1-2010	https://dof.gob.mx/normasOficiales/8150/seeco11_C/seeco11_C.html	T1
A-MX-1	B4-028	Congreso de Oaxaca, dictamen 1184	https://www.congresooaxaca.gob.mx/docs64.congresooaxaca.gob.mx/documents/dictamen/1184.pdf	T1
A-MX-1	B4-036	DOF, ACUERDO, codigo=5740005	https://www.dof.gob.mx/nota_detalle.php?codigo=5740005&fecha=30/09/2024	T1
A-MX-1	B7-047	Congreso de Oaxaca, Gaceta 22.11.2023 (PDF)	https://www.congresooaxaca.gob.mx/docs65.congresooaxaca.gob.mx/gaceta/20231122a/21.pdf	T1
A-MX-1	B7-048	Hartford Courant / AP (исп.)	https://www.courant.com/2020/08/06/un-estado-de-mxico-prohbe-la-venta-de-alimentos-chatarra/	T2
A-CO-1	B4-017	Función Pública, Gestor Normativo, Ley 2277 de 2022	https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=199883	T1
A-CO-1	B4-018	Función Pública, Gestor Normativo, Ley 2277 de 2022, art. 54	https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=199883	T1
A-CO-1	B6-034	Ley 2277 de 2022 (Función Pública)	https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=199883	T1
A-CO-1	B6-035	Ley 2277 de 2022	https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=199883	T1
A-IT-1	B6-104	Consiglio regionale del Piemonte (infoleg PDF)	https://www.cr.piemonte.it/infolegint/visualizzaDocumentoSchede.do?idDocumento=15210	T2
A-IT-1	B6-105	PubMed 41491104	pmid:41491104	T1 (заголовок, без абстракта)
A-IT-1	B7-102	pmid:41138743	https://pubmed.ncbi.nlm.nih.gov/41138743/	T1
A-IT-1	B7-103	pmid:41491104	https://pubmed.ncbi.nlm.nih.gov/41491104/	T1
A-IT-2	B3-067	Senato, Dossier n. 580	https://www.senato.it/show-doc?leg=19&tipodoc=DOSSIER&id=1477486&idoggetto=0&part=dossier_dossier1-sezione_sezione12	T1
A-IT-2	B3-068	Senato, Dossier n. 580	https://www.senato.it/show-doc?leg=19&tipodoc=DOSSIER&id=1477486&idoggetto=0&part=dossier_dossier1-sezione_sezione12	T1
A-RU-1	B3-097	ПП 565 (ред. 24.03.2026), Расписание болезней	https://www.consultant.ru/document/cons_doc_LAW_149096/2c77bb6a026f4c82f6c03500bc2e6c6d94c79267/	T1
A-RU-1	B3-098	ПП 565 ст. 13 п. «е»	https://www.consultant.ru/document/cons_doc_LAW_149096/2c77bb6a026f4c82f6c03500bc2e6c6d94c79267/	T1
A-RU-2	B3-094	Приказ Минздрава 404н (ред. 15.06.2026)	https://normativ.kontur.ru/document?moduleId=1&documentId=507207	T1
A-RU-2	B3-095	Приказ 404н	https://normativ.kontur.ru/document?moduleId=1&documentId=507207	T1
A-RU-2	B3-096	PMC9012158	https://pmc.ncbi.nlm.nih.gov/articles/PMC9012158/	T1 (абстракт)
A-RU-2	B6-018	Приказ Минздрава РФ 404н (через normativ.kontur.ru)	https://normativ.kontur.ru/document?moduleId=1&documentId=507207	T2 (агрегатор правового текста)
A-UK-1	B3-041	NICE TA875	https://www.nice.org.uk/guidance/ta875	T1
A-UK-1	B3-042	NICE TA875 rec. 1.1	https://www.nice.org.uk/guidance/ta875/chapter/1-Recommendations	T1
A-UK-1	B3-043	NICE TA875 PDF	https://www.nice.org.uk/guidance/ta875/resources/semaglutide-for-managing-overweight-and-obesity-pdf-82613674831813	T1
A-UK-1	B3-044	PMC12705252	https://pmc.ncbi.nlm.nih.gov/articles/PMC12705252/	T1 (абстракт)
A-UK-1	B3-045	NICE TA1152	https://www.nice.org.uk/guidance/ta1152	T1
A-PAC-1	B1-007	Honolulu Civil Beat	https://www.civilbeat.org/2013/05/samoa-lifts-ban-on-tasty-turkey-tails/	T2
A-PAC-1	B1-008	PMC10498917 (журнальная статья)	https://pmc.ncbi.nlm.nih.gov/articles/PMC10498917/	T1
A-PAC-1	B1-009	ielp.worldtradelaw.net "Trade in Everything: Turkey Tails"	https://ielp.worldtradelaw.net/2011/11/trade-agreements-and-fatty-foods/	T2
A-PAC-1	B6-053	NPR 2013-05-14	https://www.npr.org/sections/thesalt/2013/05/14/182568333/samoans-await-the-return-of-the-tasty-turkey-tail	T2
A-PAC-1	B6-054	WTO briefing note MC8	https://www.wto.org/english/thewto_e/minist_e/min11_e/brief_samoa_e.htm	T1
A-PAC-2	B1-010	PMC10498917 (журнальная статья)	https://pmc.ncbi.nlm.nih.gov/articles/PMC10498917/	T1
A-PAC-2	B1-011	Food Policy journal (Thow et al.), FNU repository PDF	https://repository.fnu.ac.fj/3169/1/1-s2.0-S0306919210000771-main.pdf	T1
A-PAC-2	B6-055	Food Policy 2010 (PDF, репозиторий FNU)	https://repository.fnu.ac.fj/3169/1/1-s2.0-S0306919210000771-main.pdf	T1
A-PAC-2	B6-056	RNZ	https://www.rnz.co.nz/national/programmes/first-up/audio/2018753159/tongan-body-builder-says-banning-mutton-flaps-great-idea	T2
A-PAC-2	B7-018	Snowdon & Thow, Obesity Reviews 2013 (via Ovid)	https://www.ovid.com/journals/obesr/fulltext/10.1111/obr.12090~trade-policy-and-obesity-prevention-challenges-and	T1
A-PH-1	B1-031	Republic Act No. 10963 (текст закона)	https://lawyerly.ph/laws/view/l13aaf	T2/T3 (правовая база, текст закона)
A-PH-1	B1-032	Republic Act No. 10963 (текст закона)	https://lawyerly.ph/laws/view/l13aaf	T2/T3
A-PH-1	B1-033	dof.gov.ph, "ASEAN members cite TRAIN's sweetened beverage tax as successful pol	https://www.dof.gov.ph/asean-members-cite-trains-sweetened-beverage-tax-as-successful-policy-dof/	T1
A-PH-1	B6-033	PMC6357562	pmcid:PMC6357562	T1
A-TH-1	B1-034	USDA FAS GAIN report, "Thai Excise Department Implements New Sugar Tax on Bevera	https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=Thai+Excise+Department+Implements+New+Sugar+Tax+on+Beverages_Bangkok	T1
A-TH-1	B1-035	PMC8084227, "Impacts of a sugar sweetened beverage tax on body mass index"	https://pmc.ncbi.nlm.nih.gov/articles/PMC8084227/	T1
A-TH-1	B1-036	IMF presentation, "Sugar Sweetened Beverages Tax in Thailand"	https://www.imf.org/-/media/files/news/seminars/2021/11-imfjapan-highlevel-tax-conference-for-asian-countries-day-2-presentation-mr-utensute.pdf	T1 (презентация МВФ с офиц. данными Таиланда)
A-MN-1	B6-048	PMC12151437; SSRN 5365869	https://pmc.ncbi.nlm.nih.gov/articles/PMC12151437/	T1
